year,orig,dest,fe_year
1990,AGO,AUS,-15.170138902706409
1990,AGO,BWA,-15.170138902706409
1990,AGO,CHL,-15.170138902706409
1990,AGO,COG,-15.170138902706409
1990,AGO,ESP,-15.170138902706409
1990,AGO,FIN,-15.170138902706409
1990,AGO,GBR,-15.170138902706409
1990,AGO,IRL,-15.170138902706409
1990,AGO,ITA,-15.170138902706409
1990,AGO,NAM,-15.170138902706409
1990,AGO,PHL,-15.170138902706409
1990,AGO,ZAF,-15.170138902706409
1990,AGO,ZMB,-15.170138902706409
1990,ALB,ARG,-15.170138902706409
1990,ALB,AUS,-15.170138902706409
1990,ALB,AUT,-15.170138902706409
1990,ALB,BEL,-15.170138902706409
1990,ALB,BGR,-15.170138902706409
1990,ALB,CAN,-15.170138902706409
1990,ALB,CHL,-15.170138902706409
1990,ALB,COL,-15.170138902706409
1990,ALB,CRI,-15.170138902706409
1990,ALB,CYP,-15.170138902706409
1990,ALB,CZE,-15.170138902706409
1990,ALB,DEU,-15.170138902706409
1990,ALB,DNK,-15.170138902706409
1990,ALB,ECU,-15.170138902706409
1990,ALB,ESP,-15.170138902706409
1990,ALB,FIN,-15.170138902706409
1990,ALB,FRA,-15.170138902706409
1990,ALB,GBR,-15.170138902706409
1990,ALB,GRC,-15.170138902706409
1990,ALB,HRV,-15.170138902706409
1990,ALB,HUN,-15.170138902706409
1990,ALB,IRL,-15.170138902706409
1990,ALB,ISL,-15.170138902706409
1990,ALB,ITA,-15.170138902706409
1990,ALB,LUX,-15.170138902706409
1990,ALB,LVA,-15.170138902706409
1990,ALB,MKD,-15.170138902706409
1990,ALB,MLT,-15.170138902706409
1990,ALB,NLD,-15.170138902706409
1990,ALB,NOR,-15.170138902706409
1990,ALB,PHL,-15.170138902706409
1990,ALB,PRT,-15.170138902706409
1990,ALB,RUS,-15.170138902706409
1990,ALB,SVK,-15.170138902706409
1990,ALB,SVN,-15.170138902706409
1990,ALB,SWE,-15.170138902706409
1990,ALB,TUR,-15.170138902706409
1990,ALB,USA,-15.170138902706409
1990,ALB,VEN,-15.170138902706409
1990,ALB,ZAF,-15.170138902706409
1990,ARE,ATG,-15.170138902706409
1990,ARE,AUS,-15.170138902706409
1990,ARE,AUT,-15.170138902706409
1990,ARE,BEL,-15.170138902706409
1990,ARE,BGD,-15.170138902706409
1990,ARE,BGR,-15.170138902706409
1990,ARE,BHR,-15.170138902706409
1990,ARE,BLR,-15.170138902706409
1990,ARE,BOL,-15.170138902706409
1990,ARE,BRA,-15.170138902706409
1990,ARE,BRB,-15.170138902706409
1990,ARE,BWA,-15.170138902706409
1990,ARE,CAF,-15.170138902706409
1990,ARE,CAN,-15.170138902706409
1990,ARE,CHE,-15.170138902706409
1990,ARE,CHL,-15.170138902706409
1990,ARE,CHN,-15.170138902706409
1990,ARE,COL,-15.170138902706409
1990,ARE,CYP,-15.170138902706409
1990,ARE,CZE,-15.170138902706409
1990,ARE,DEU,-15.170138902706409
1990,ARE,DNK,-15.170138902706409
1990,ARE,DOM,-15.170138902706409
1990,ARE,DZA,-15.170138902706409
1990,ARE,ECU,-15.170138902706409
1990,ARE,EGY,-15.170138902706409
1990,ARE,ESP,-15.170138902706409
1990,ARE,ETH,-15.170138902706409
1990,ARE,FIN,-15.170138902706409
1990,ARE,FRA,-15.170138902706409
1990,ARE,GBR,-15.170138902706409
1990,ARE,GHA,-15.170138902706409
1990,ARE,GRC,-15.170138902706409
1990,ARE,HKG,-15.170138902706409
1990,ARE,HUN,-15.170138902706409
1990,ARE,IND,-15.170138902706409
1990,ARE,IRL,-15.170138902706409
1990,ARE,ISL,-15.170138902706409
1990,ARE,ISR,-15.170138902706409
1990,ARE,ITA,-15.170138902706409
1990,ARE,JAM,-15.170138902706409
1990,ARE,JOR,-15.170138902706409
1990,ARE,JPN,-15.170138902706409
1990,ARE,KEN,-15.170138902706409
1990,ARE,KOR,-15.170138902706409
1990,ARE,LBN,-15.170138902706409
1990,ARE,LBR,-15.170138902706409
1990,ARE,LCA,-15.170138902706409
1990,ARE,LKA,-15.170138902706409
1990,ARE,LTU,-15.170138902706409
1990,ARE,LUX,-15.170138902706409
1990,ARE,LVA,-15.170138902706409
1990,ARE,MEX,-15.170138902706409
1990,ARE,MLT,-15.170138902706409
1990,ARE,MRT,-15.170138902706409
1990,ARE,MYS,-15.170138902706409
1990,ARE,NAM,-15.170138902706409
1990,ARE,NER,-15.170138902706409
1990,ARE,NLD,-15.170138902706409
1990,ARE,NOR,-15.170138902706409
1990,ARE,NZL,-15.170138902706409
1990,ARE,OMN,-15.170138902706409
1990,ARE,PAN,-15.170138902706409
1990,ARE,PHL,-15.170138902706409
1990,ARE,POL,-15.170138902706409
1990,ARE,PRT,-15.170138902706409
1990,ARE,ROU,-15.170138902706409
1990,ARE,RUS,-15.170138902706409
1990,ARE,SUR,-15.170138902706409
1990,ARE,SVK,-15.170138902706409
1990,ARE,SWE,-15.170138902706409
1990,ARE,SYR,-15.170138902706409
1990,ARE,TCD,-15.170138902706409
1990,ARE,TTO,-15.170138902706409
1990,ARE,TUN,-15.170138902706409
1990,ARE,TUR,-15.170138902706409
1990,ARE,TZA,-15.170138902706409
