regtype,b3,b6,b7,b8,b9,b10,b0
reg_ratio_ar_yfe,0.037,0.145,-1.166,-0.053,-8.86,1.217,12.898503010990247
reg_ratio_ar_odyfe,-0.249,-0.088,-1.472,0.19,-11.703,1.607,16.122670055718284
