origin,destination,phi
RWA,KEN,0.07509199999999999
SSD,KEN,0.08379500000000002
TZA,KEN,0.07491851851851851
UGA,KEN,0.07492407407407406
CHN,KOR,0.040388118811881195
VNM,KOR,0.037162916666666664
BGD,KWT,0.02428611111111111
EGY,KWT,0.023214285714285715
IND,KWT,0.022448750000000014
JOR,KWT,0.05283124999999999
PAK,KWT,0.015782812500000007
PHL,KWT,0.022786249999999994
BGD,MYS,0.03388214285714287
CHN,MYS,0.04341206896551725
IDN,MYS,0.04664000000000001
IND,MYS,0.02414239130434782
MMR,MYS,0.0258
NPL,MYS,0.02409142857142857
PHL,MYS,0.03451381578947368
THA,MYS,0.07704285714285715
VNM,MYS,0.052254
BEN,NGA,0.20554375
MLI,NGA,0.20368124999999998
TGO,NGA,0.20368124999999998
DOM,NLD,0.06958720930232559
GHA,NLD,0.058542500000000004
IDN,NLD,0.08301428571428573
MAR,NLD,0.051673863636363615
NGA,NLD,0.07250862068965518
SOM,NLD,0.06660624999999999
SUR,NLD,0.054276041666666656
TUR,NLD,0.06190581395348837
PAK,NOR,0.055824999999999986
POL,NOR,0.05706279069767443
CHN,NZL,0.06497818181818184
FJI,NZL,0.07597295918367347
IND,NZL,0.05206696428571427
PHL,NZL,0.06038555555555557
TON,NZL,0.09251948051948052
VNM,NZL,0.06475779220779222
VUT,NZL,0.10547745098039214
WSM,NZL,0.08528350515463919
BGD,OMN,0.030048437500000004
IND,OMN,0.03401388888888888
JOR,OMN,0.042115625000000004
LKA,OMN,0.028757812499999997
NPL,OMN,0.03012321428571429
PAK,OMN,0.028041666666666666
AFG,PAK,0.07925967741935484
BGD,PAK,0.08159714285714285
BRA,PRT,0.05531463414634148
CPV,PRT,0.06761500000000001
MOZ,PRT,0.07284473684210527
BGD,QAT,0.04996363636363636
EGY,QAT,0.05394183673469389
IND,QAT,0.03969489795918367
JOR,QAT,0.03497452830188678
LKA,QAT,0.03515000000000001
NPL,QAT,0.04477735849056605
PAK,QAT,0.0342554054054054
PHL,QAT,0.03583421052631578
SDN,QAT,0.05917173913043478
ARM,RUS,0.014753124999999999
AZE,RUS,0.011524999999999997
BLR,RUS,0.013881034482758618
EST,RUS,0.044178125
GEO,RUS,0.01289333333333333
KAZ,RUS,0.01347333333333333
KGZ,RUS,0.01359285714285714
LTU,RUS,0.05617727272727273
LVA,RUS,0.03700263157894737
MDA,RUS,0.013901612903225802
TJK,RUS,0.015545454545454546
UKR,RUS,0.013624999999999996
UZB,RUS,0.016194827586206897
KEN,RWA,0.0512138888888889
AFG,SAU,0.04811666666666667
BGD,SAU,0.040546774193548386
EGY,SAU,0.09246129032258063
ETH,SAU,0.04100000000000001
IDN,SAU,0.03709347826086956
IND,SAU,0.03837741935483872
JOR,SAU,0.04188571428571428
