scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP1,ABW,2010,0.492780875,533,,,0.492780875,0,LAC,0
SSP1,ABW,2015,0.489162648,533,0,0,0.489162648,0,LAC,0
SSP1,ABW,2020,0.485375261,533,-0.00203824004715435,670642064509161e-20,0.48740679462650927,0.004185490670298719,LAC,-0.004168045355350425
SSP1,ABW,2025,0.479795624,533,-0.0038775152204161946,-0.00019398931618391237,0.4838671285366001,0.008485914278784978,LAC,-0.008414509472701504
SSP1,ABW,2030,0.471452389,533,-0.00566105536931305,-0.000627591424394785,0.47774103579370786,0.013338879896327871,LAC,-0.013163296268364322
SSP1,ABW,2035,0.460475411,533,-0.006825951764586993,-0.0013286481693473623,0.46863001093393436,0.0177090887789757,LAC,-0.017400934092298148
SSP1,ABW,2040,0.447276735,533,-0.00763430147814253,-0.002317692468166944,0.45722872894630945,0.022250193599516077,LAC,-0.02176589815177188
SSP1,ABW,2045,0.432815955,533,-0.008130829382934876,-0.003623246331616963,0.4445700307145518,0.027157214466716706,LAC,-0.02643919945674178
SSP1,ABW,2050,0.417473654,533,-0.008337274711885804,-0.005282463369094157,0.43109339208097996,0.032624185862947686,LAC,-0.03159347447947314
SSP1,ABW,2055,0.403719715,533,-0.008345386465679464,-0.003457642516868222,0.4155227439825476,0.02923570126504149,LAC,-0.028405253751990545
SSP1,ABW,2060,0.390985726,533,-0.008250816428941174,-0.004335249427648992,0.40357179185659015,0.03219060190598921,LAC,-0.031186683783545166
SSP1,ABW,2065,0.379508901,533,-0.008074519231294156,-0.00526107128449685,0.39284449151579104,0.03513907178633224,LAC,-0.033946232679337385
SSP1,ABW,2070,0.36917804,533,-0.007812138135981871,-0.006213894533066684,0.38320407266904855,0.0379925974715305,LAC,-0.03660199269636166
SSP1,ABW,2075,0.359744115,533,-0.0074520963102112005,-0.007172390332910753,0.3743686016431219,0.04065246944518308,LAC,-0.039064404917865336
SSP1,ABW,2080,0.351013789,533,-0.007041137300925359,-0.008122967458539932,0.3661778937594653,0.04320088052001081,LAC,-0.04141185204759046
SSP1,ABW,2085,0.342801925,533,-0.006648625482402375,-0.00905108801017907,0.35850163849258143,0.04579820691666603,LAC,-0.04379258504534367
SSP1,ABW,2090,0.335023363,533,-0.006311904684997257,-0.00994287234101315,0.35127814002601043,0.04851833878227296,LAC,-0.04627323813775264
SSP1,ABW,2095,0.32751662,533,-0.006040959241981753,-0.010785158517247402,0.34434273775922913,0.05137485163112987,LAC,-0.04886444787168498
SSP1,ABW,2100,0.320201907,533,-0.005870425901994674,-0.011566887291010469,0.33763922019300513,0.054457243419868684,LAC,-0.05164480945974648
SSP1,AFG,2010,0.338,4,,,0.338,0,ASIA,0
SSP1,AFG,2015,0.333787443,4,0,0,0.333787443,0,ASIA,0
SSP1,AFG,2020,0.33270999,4,0.0014785822525021529,-0.0003358866329773813,0.3315672943804753,-0.0034345094943639687,ASIA,0.0034463460024301007
SSP1,AFG,2025,0.331388037,4,0.002753539760797957,0.0003652498208747307,0.32826924741832736,-0.00941129200047941,ASIA,0.009500705918085162
SSP1,AFG,2030,0.32813117,4,0.0039241271488200105,0.002852587367863492,0.32135445548331654,-0.020652455896474242,ASIA,0.021087974356824635
SSP1,AFG,2035,0.318370502,4,0.004220142858447379,0.008590533202618877,0.30555982593893377,-0.04023826322033508,ASIA,0.04192526298802912
SSP1,AFG,2040,0.304395423,4,0.003889560949208514,0.018329970112535898,0.2821758919382556,-0.07299561485766626,ASIA,0.07874354860409682
SSP1,AFG,2045,0.290792838,4,0.003183362130056505,0.032150396286552495,0.25545907958339104,-0.12150835164863638,ASIA,0.13831474878180927
SSP1,AFG,2050,0.278753453,4,0.002295963829893628,0.05005610250506243,0.22640138666504395,-0.18780777698547846,ASIA,0.2312356258330246
SSP1,AFG,2055,0.268058059,4,0.001371154293533721,0.03097667485530482,0.23571022985116147,-0.12067471229745252,ASIA,0.13723557594112257
SSP1,AFG,2060,0.259121629,4,0.0004867993641793163,0.03955159376191286,0.21908323587390782,-0.15451582826415544,ASIA,0.18275425304168902
SSP1,AFG,2065,0.251958595,4,-0.0003251633586592467,0.0485482387437649,0.20373551961489433,-0.1913928571680822,ASIA,0.23669449233132278
SSP1,AFG,2070,0.246216483,4,-0.0010329850057766924,0.05778013144597936,0.18946933655979736,-0.2304766348246582,ASIA,0.29950570087256834
SSP1,AFG,2075,0.241612986,4,-0.0016211906529676157,0.06706102202176463,0.17617315463120298,-0.2708456712206563,ASIA,0.37145177712113586
SSP1,AFG,2080,0.237921971,4,-0.002059857612340499,0.07622139782734978,0.16376043078499075,-0.3117053036476789,ASIA,0.4528660547576333
SSP1,AFG,2085,0.234962286,4,-0.0023054503803747704,0.08508951497653118,0.15217822140384357,-0.3523291588853388,ASIA,0.543994165738525
SSP1,AFG,2090,0.2325888,4,-0.0023260802224600984,0.09350296499678273,0.14141191522567736,-0.3920089220733012,ASIA,0.6447609780888315
SSP1,AFG,2095,0.230685226,4,-0.0021316909292874017,0.10130748365190298,0.1315094332773844,-0.42991826759905116,ASIA,0.7541344392643716
SSP1,AFG,2100,0.229158384,4,-0.0017786706742072146,0.10838873504215606,0.12254831963205116,-0.4652243679984619,ASIA,0.8699430941855701
SSP1,AGO,2010,0.4872,24,,,0.4872,0,AFR,0
SSP1,AGO,2015,0.485059257,24,0,0,0.485059257,0,AFR,0
SSP1,AGO,2020,0.482386042,24,0.000331585252612323,-0.00013572104440047432,0.48219017779178813,-0.00040603208044709405,AFR,0.0004061970094639822
