scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP4,KWT,2025,0.425938062,414,-0.0008491654327349102,-0.002298556202371817,0.4290857836351067,0.007390092400586301,ASIA,-0.00733587957270454
SSP4,LAO,2025,0.445231789,418,-0.0005811989372756622,0.0013923440893918824,0.44442064384788377,-0.0018218491405074255,ASIA,0.0018251743327968306
SSP4,LBN,2025,0.440018649,422,-0.002140731343500074,-0.0009949213144492184,0.4431543016579493,0.007126181276805976,ASIA,-0.007075758141618094
SSP4,LBR,2025,0.435782973,430,0.0037601894977419732,-0.0006264030767806289,0.43264918657903867,-0.007191163067679862,AFR,0.007243250462898754
SSP4,LBY,2025,0.425938062,434,-0.0001914252947645206,,,,AFR,
SSP4,LCA,2025,0.436597526,662,-0.0012983491411380707,0.002480782672224424,0.4354150924689137,-0.0027082918721952343,LAC,0.0027156466359070652
SSP4,LKA,2025,0.446426467,144,-0.0009819380324219348,0.0006062686047855166,0.4468021364276364,0.0008415034846855907,ASIA,-0.000840795951962181
SSP4,LSO,2025,0.611919948,426,-0.0005963018502743167,0.004172335482524499,0.6083439143677498,-0.005843956622002877,AFR,0.00587830920601351
SSP4,LTU,2025,0.40993858,440,-0.0035082816479699067,0.0009962685140327404,0.41245059313393717,0.006127779273512601,EUR,-0.006090458289440326
SSP4,LUX,2025,0.28670782,442,-0.0062973726687938405,-0.004101071312792434,0.29710626398158624,0.03626843516715472,EUR,-0.03499907353764409
SSP4,LVA,2025,0.377714183,428,-0.0041771726782437,0.000703998197038985,0.3811873574812047,0.009195245075572789,EUR,-0.009111462940834758
SSP4,MAC,2025,0.452882535,446,-0.012500846268040258,-0.0020662532671520835,0.46744963453519234,0.03216529322596284,ASIA,-0.03116292849319935
SSP4,MAR,2025,0.476995379,504,-0.0010193473939130063,0.001502374375955812,0.4765123520179572,-0.0010126449926106673,AFR,0.001013671481961076
SSP4,MDA,2025,0.317335219,498,-0.00023616154007935865,0.0003321468935235216,0.3172392336465559,-0.0003024730559267885,EUR,0.00030256457355792854
SSP4,MDG,2025,0.475789775,450,1.435540666752544e-5,5.602424312959709e-5,0.4757193953502029,-0.00014792173664746056,AFR,0.00014794362072478862
SSP4,MDV,2025,0.438226632,462,0.0006817724438732504,-0.0011943744441059137,0.4387392340002327,0.0011697189600121671,ASIA,-0.001168352316155974
SSP4,MEX,2025,0.53777725,484,-0.0004664397283943109,0.0010611142030209804,0.5371825755253733,-0.0011058007281391502,LAC,0.0011070248770543856
SSP4,MKD,2025,0.457914183,807,-0.00014928655230307913,0.0007893797930340949,0.4572740897592689,-0.001397845414041421,EUR,0.0013998021210168687
SSP4,MLI,2025,0.40264633,466,0.00018349481952074454,0.001489847229688744,0.4009729879507905,-0.004155860676066547,AFR,0.004173203930173175
