scen,period,gini_world_mig,gini_world_nomig,reldif
SSP1,2015,0.5137174412768605,0.5137174412768605,0.0
SSP1,2020,0.4905814596210667,0.49804621770604074,-0.014988083072603353
SSP1,2025,0.46708520119243624,0.47390272957830826,-0.014385923440319637
SSP1,2030,0.4428400363111874,0.44917393958960394,-0.014101226095627029
SSP1,2035,0.41781930046034266,0.4239374369475264,-0.014431696646647008
SSP1,2040,0.39217765478811917,0.39810917595695283,-0.014899232489619996
SSP1,2045,0.366399240964127,0.3719287578880114,-0.014867140027793546
SSP1,2050,0.3397158781380635,0.34481103396926194,-0.014776661212218212
SSP1,2055,0.3123968743890376,0.3171031039893554,-0.014841323030618248
SSP1,2060,0.2859346617337005,0.290084326754261,-0.014305030082082948
SSP1,2065,0.2608021358189201,0.2644615237791853,-0.01383712801761161
SSP1,2070,0.23737381307150285,0.24055148724047648,-0.013209954365390963
SSP1,2075,0.21595445668159807,0.21802377922308125,-0.009491269937880742
SSP1,2080,0.19752796281404283,0.1992248622409829,-0.008517508346360336
SSP1,2085,0.1824693004901078,0.18368365519228558,-0.006611120085271427
SSP1,2090,0.17206861714080057,0.1721011515675006,-0.00018904246952278214
SSP1,2095,0.16698550142921953,0.16742910227555863,-0.0026494847091099727
SSP1,2100,0.1667154581479513,0.16779940823971484,-0.006459796867787748
SSP2,2015,0.5124435206538354,0.5124435206538354,0.0
SSP2,2020,0.4902574245951178,0.49771164351210384,-0.014976983187263482
SSP2,2025,0.47314488746176653,0.480046661645945,-0.014377298574505759
SSP2,2030,0.4591348336204153,0.46564372942482535,-0.01397827436106569
SSP2,2035,0.4466273911355447,0.4528893277631624,-0.013826637643562067
SSP2,2040,0.4335865268658251,0.43961752232694484,-0.013718733114178483
SSP2,2045,0.41931680295028617,0.42515031615552423,-0.013721060489824688
SSP2,2050,0.403524713309495,0.4091494356663621,-0.01374735455202658
SSP2,2055,0.3864102097540927,0.3917428658447567,-0.01361264379164795
SSP2,2060,0.3687453984383724,0.3737899167001151,-0.013495597490367328
SSP2,2065,0.35020742779557634,0.35493695996304053,-0.013324992043535544
SSP2,2070,0.3304410968876168,0.3348422965505655,-0.013144097111650543
SSP2,2075,0.3093675724161301,0.3135241218848984,-0.013257510917435211
SSP2,2080,0.28760011062247737,0.2916510065305601,-0.01388953172585139
SSP2,2085,0.26541866205161657,0.26966879041784386,-0.015760549671476
SSP2,2090,0.24324929239773585,0.24804820352294277,-0.01934668768831882
SSP2,2095,0.22141715258631933,0.2270571079597269,-0.024839369373135467
SSP2,2100,0.20017055677461204,0.20713991350617234,-0.03364564855508945
SSP3,2015,0.510256996765798,0.510256996765798,0.0
SSP3,2020,0.48691215018740885,0.4942013494526707,-0.014749452370647398
SSP3,2025,0.4737133385926905,0.48056956563814135,-0.014266877338240502
SSP3,2030,0.4678134262041884,0.4741908074715102,-0.013448977008490348
SSP3,2035,0.466129025348748,0.47221675202684366,-0.012891805832736747
SSP3,2040,0.4649403062758407,0.4706717051223539,-0.012177062662016791
SSP3,2045,0.4631541995516887,0.46851767439574066,-0.01144775349397309
SSP3,2050,0.45960118266187955,0.46454158447324934,-0.010635004435548656
SSP3,2055,0.45440046539092294,0.45885225802054486,-0.0097020174834197
SSP3,2060,0.44807164149102363,0.45193689114116065,-0.008552631409171063
SSP3,2065,0.44026179069454585,0.44356054944123036,-0.007436997611352192
SSP3,2070,0.4302163007844215,0.43289138207405364,-0.006179566977784101
SSP3,2075,0.4179168726274052,0.41997936210131626,-0.0049109305361855204
SSP3,2080,0.4042289503357547,0.4056040464425352,-0.0033902425748491005
SSP3,2085,0.3891086832884135,0.3897913889613863,-0.0017514642249842893
SSP3,2090,0.37335386096948475,0.3736426953909857,-0.0007730230647188252
SSP3,2095,0.35717084626406936,0.3572359843914953,-0.00018233921069532588
SSP3,2100,0.34067373540051005,0.34055910361539576,0.0003365987985561869
SSP4,2015,0.5122295165160753,0.5122295165160753,0.0
SSP4,2020,0.4917471674517466,0.49921452275872225,-0.01495820927987046
SSP4,2025,0.48208935143679044,0.48903189149037296,-0.014196497558522148
SSP4,2030,0.4794572300112281,0.4861387677179233,-0.013744095617101881
SSP4,2035,0.48186993269592415,0.4885430533006372,-0.013659227287398434
SSP4,2040,0.48508688275119083,0.49204060012249706,-0.014132405678667692
SSP4,2045,0.48885346402050034,0.4961986191119151,-0.014802852745864015
SSP4,2050,0.4928103833456836,0.5006407411120817,-0.015640672289283453
SSP4,2055,0.4972471797468102,0.5055694316580492,-0.016461145374129238
SSP4,2060,0.5025049113745671,0.5114253068825342,-0.017442225458772498
SSP4,2065,0.5080865669000646,0.5177009305092921,-0.01857126970926881
SSP4,2070,0.5132918997602129,0.5237061632043019,-0.01988569960752251
SSP4,2075,0.5178234319160209,0.529052817996235,-0.02122545367539108
SSP4,2080,0.5221314896963769,0.5335333396584983,-0.02137045450509123
SSP4,2085,0.5260258249584248,0.5381741348675827,-0.022573195406626168
SSP4,2090,0.5294170978982473,0.5426539025341328,-0.024392719879228975
SSP4,2095,0.5322551301083127,0.5468689347505635,-0.026722682005911436
SSP4,2100,0.5342822364634462,0.5503871166259766,-0.029261004983651806
SSP5,2015,0.5149127598589329,0.5149127598589329,0.0
SSP5,2020,0.4923820801179484,0.5000404241268698,-0.015315449790472058
SSP5,2025,0.46678044397032314,0.4736126186152665,-0.014425660078312585
SSP5,2030,0.43812780908828586,0.4445711565268998,-0.014493399636969273
SSP5,2035,0.4074946062128565,0.4140273524187361,-0.01577853774084126
SSP5,2040,0.37716668461896363,0.383772224865354,-0.017212137352326407
SSP5,2045,0.347249389405044,0.3536092414588444,-0.01798553688122606
SSP5,2050,0.3169673269616009,0.32308639732342204,-0.018939424291811613
