scen,country,period,gini,region,dgini_edu,dgini_eduspend,gini_nomig,relgini,worldregion,reldif
SSP1,JAM,2010,0.60707535,388,,,0.60707535,0.0,LAC,0.0
SSP1,JOR,2010,0.3966,400,,,0.3966,0.0,ASIA,0.0
SSP1,JPN,2010,0.3211,392,,,0.3211,0.0,ASIA,0.0
SSP1,KAZ,2010,0.2742,398,,,0.2742,0.0,ASIA,0.0
SSP1,KEN,2010,0.5451,404,,,0.5451,0.0,AFR,0.0
SSP1,KGZ,2010,0.2777,417,,,0.2777,0.0,ASIA,0.0
SSP1,KHM,2010,0.377,116,,,0.377,0.0,ASIA,0.0
SSP1,KOR,2010,0.3865,410,,,0.3865,0.0,ASIA,0.0
SSP1,KWT,2010,0.414804506,414,,,0.414804506,0.0,ASIA,0.0
SSP1,LAO,2010,0.4364,418,,,0.4364,0.0,ASIA,0.0
SSP1,LBN,2010,0.43,422,,,0.43,0.0,ASIA,0.0
SSP1,LBR,2010,0.4248,430,,,0.4248,0.0,AFR,0.0
SSP1,LBY,2010,0.414804506,434,,,0.414804506,0.0,AFR,0.0
SSP1,LCA,2010,0.4258,662,,,0.4258,0.0,LAC,0.0
SSP1,LKA,2010,0.437866667,144,,,0.437866667,0.0,ASIA,0.0
SSP1,LSO,2010,0.6018,426,,,0.6018,0.0,AFR,0.0
SSP1,LTU,2010,0.35764088,440,,,0.35764088,0.0,EUR,0.0
SSP1,LUX,2010,0.28509956,442,,,0.28509956,0.0,EUR,0.0
SSP1,LVA,2010,0.3603,428,,,0.3603,0.0,EUR,0.0
SSP1,MAC,2010,0.441388871,446,,,0.441388871,0.0,ASIA,0.0
SSP1,MAR,2010,0.4672,504,,,0.4672,0.0,AFR,0.0
SSP1,MDA,2010,0.3063,498,,,0.3063,0.0,EUR,0.0
SSP1,MDG,2010,0.4663,450,,,0.4663,0.0,AFR,0.0
SSP1,MDV,2010,0.4278,462,,,0.4278,0.0,ASIA,0.0
SSP1,MEX,2010,0.54873459,484,,,0.54873459,0.0,LAC,0.0
SSP1,MKD,2010,0.4405,807,,,0.4405,0.0,EUR,0.0
SSP1,MLI,2010,0.3904,466,,,0.3904,0.0,AFR,0.0
SSP1,MLT,2010,0.27524786,470,,,0.27524786,0.0,EUR,0.0
SSP1,MMR,2010,0.441,104,,,0.441,0.0,ASIA,0.0
SSP1,MNE,2010,0.3063,499,,,0.3063,0.0,EUR,0.0
