scen,period,gini_world_mig,gini_world_nomig,reldif
SSP1,2020,0.5048516765624679,0.5069069100623581,-0.004054459426559021
SSP1,2025,0.48444744122364025,0.4906884893127367,-0.012718961673296447
SSP1,2030,0.4641064612598258,0.47078793960063015,-0.014192118741342963
SSP1,2035,0.4421080708819405,0.4487508502607147,-0.014802822935967463
SSP1,2040,0.4198971507256808,0.42616238526321815,-0.014701519313272238
SSP1,2045,0.3976553045484379,0.40406780852299895,-0.01586987094567338
SSP1,2050,0.3746730381844643,0.38113321370784337,-0.016949914861870585
SSP1,2055,0.3513287397155539,0.357671758175948,-0.01773418872304089
SSP1,2060,0.3286484342991368,0.3347111509315097,-0.018113279511304592
SSP1,2065,0.3072916386402774,0.31291448302267355,-0.017969268562071372
SSP1,2070,0.2871925847734357,0.29237576749634353,-0.01772781228517062
SSP1,2075,0.26839611800806484,0.2731782805160222,-0.017505646857883694
SSP1,2080,0.25150344616397335,0.2561214759657039,-0.018030623103034604
SSP1,2085,0.23645655562063772,0.24115511613887453,-0.01948356142496699
SSP1,2090,0.2237552673756813,0.2284345811826739,-0.020484261983305663
SSP1,2095,0.21336999291297054,0.21418262402935806,-0.0037941038404503136
SSP1,2100,0.2058562191420692,0.20515050640663735,0.003439975595444178
SSP2,2020,0.5042309576450288,0.5062895302210937,-0.004065998708616236
SSP2,2025,0.48899972330721975,0.49533002037671414,-0.012779958429896876
SSP2,2030,0.47772070892051854,0.48463755574944944,-0.0142722055830663
SSP2,2035,0.46719809263716916,0.4739303258482026,-0.014205111688062266
SSP2,2040,0.45606752580245435,0.462574310501666,-0.01406646359620567
SSP2,2045,0.4441384674008617,0.45075158943148574,-0.014671322710064993
SSP2,2050,0.43126659866386796,0.43791243554916515,-0.015176177577517214
SSP2,2055,0.41755002359452364,0.4240649315706996,-0.015362996303526666
SSP2,2060,0.403206146188428,0.4094560491808046,-0.01526391661542359
SSP2,2065,0.38831951576580004,0.3941848555630486,-0.014879668040190364
SSP2,2070,0.37236634523158596,0.3777397895694795,-0.014225253696513729
SSP2,2075,0.35546755730377677,0.36049675108219237,-0.013950732602494242
SSP2,2080,0.3385337093617623,0.3433102355213109,-0.013913148124743535
SSP2,2085,0.3217140584824546,0.3262494534461632,-0.013901617047327841
SSP2,2090,0.3050858569404997,0.3094873693170641,-0.014221945103210731
SSP2,2095,0.2888412271083407,0.2934078097850301,-0.015563943850149031
SSP2,2100,0.27056767273905125,0.2728857913311662,-0.008494830679189658
SSP3,2020,0.5000338515014249,0.5014128944083103,-0.0027503140072070442
SSP3,2025,0.48723579558147834,0.4934665816270334,-0.01262656130636286
SSP3,2030,0.48166651520267967,0.4879772174581841,-0.012932370671680404
SSP3,2035,0.47967844949761906,0.4863372733878961,-0.013691781927160807
SSP3,2040,0.4778294372297057,0.4848549190458077,-0.014489863957507287
SSP3,2045,0.47568458076317366,0.482435322986827,-0.013993051300345338
SSP3,2050,0.4729326035509259,0.47983548561174116,-0.014385934904365794
SSP3,2055,0.4692869982149618,0.4763853308231488,-0.014900401311521927
SSP3,2060,0.46429520491411325,0.4713641732519138,-0.01499682992246143
SSP3,2065,0.4576145459599015,0.46344995920593546,-0.012591247728303334
SSP3,2070,0.4487592812364076,0.45440476555851095,-0.012423910904993285
SSP3,2075,0.4378787149181955,0.44334620029691163,-0.012332315862985888
SSP3,2080,0.42612904942233065,0.4313933557980497,-0.012203030725821962
SSP3,2085,0.41348058320002934,0.41843660932099425,-0.011844150369651363
SSP3,2090,0.4000988721387726,0.40482316706697663,-0.011670021166111821
SSP3,2095,0.3864803303973936,0.39106292275099463,-0.011718299248018815
SSP3,2100,0.36811700101644407,0.372719586273909,-0.012348654127563141
SSP4,2020,0.5060252734352364,0.5080745223820329,-0.00403336293500578
SSP4,2025,0.4985246617890081,0.5048565811478414,-0.012542016079966745
SSP4,2030,0.4986459169471472,0.5051150880797322,-0.01280732111404237
SSP4,2035,0.5034682657957703,0.5103041202718614,-0.013395648211598554
SSP4,2040,0.50855376077163,0.5162379611298101,-0.014884996720045507
SSP4,2045,0.5141043603036182,0.5218504476404029,-0.014843500416277133
SSP4,2050,0.520166543010762,0.528488744323999,-0.015747168511378584
SSP4,2055,0.5266557266381702,0.5355159476621749,-0.01654520479303101
SSP4,2060,0.5333739140250114,0.542346342466573,-0.016543724441387853
SSP4,2065,0.540041784160757,0.5479609140521158,-0.014451997739761469
SSP4,2070,0.5460121776203377,0.5536848119213602,-0.013857404313471156
SSP4,2075,0.5510616106220627,0.5582121485991974,-0.012809714004036965
SSP4,2080,0.5559091054474621,0.5625020084437836,-0.011720674588454272
SSP4,2085,0.5605479844605844,0.5660840641448357,-0.009779607014047453
SSP4,2090,0.5646881828914713,0.5673496324501235,-0.0046910219138746045
SSP4,2095,0.5682785326347589,0.5692812400119565,-0.0017613567894428916
SSP4,2100,0.5625629948609312,0.5620847497054101,0.0008508417205266294
SSP5,2020,0.5074594129048269,0.5100216950077618,-0.005023868843257673
SSP5,2025,0.48569117705940035,0.492356212349466,-0.013537018773990717
SSP5,2030,0.4629530591814678,0.4698542047006973,-0.014687844548769369
SSP5,2035,0.43785414298457925,0.4457464633180468,-0.017705850708760962
SSP5,2040,0.41375027047426116,0.4228215655865907,-0.021454192147802753
