scen,period,gini_world_mig,gini_world_nomig,reldif
SSP1,2020,0.5048516765624679,0.5069069100623581,-0.004054459426559021
SSP1,2025,0.48444744122364025,0.49047932116391824,-0.01229792914809169
SSP1,2030,0.4641064612598258,0.47016380699307125,-0.012883479423873911
SSP1,2035,0.4421080708819405,0.44865339352437306,-0.01458881786453492
SSP1,2040,0.4198971507256808,0.4267876757977733,-0.016145089145820357
SSP1,2045,0.3976553045484379,0.40520916659413764,-0.0186418834232982
SSP1,2050,0.3746730381844643,0.3828643449716531,-0.021394801826728704
SSP1,2055,0.3513287397155539,0.3600989446442401,-0.0243549864811482
SSP1,2060,0.3286484342991368,0.3372739901396582,-0.025574328565774462
SSP1,2065,0.3072916386402774,0.31648965761847203,-0.0290626210265702
SSP1,2070,0.2871925847734357,0.2970171885853715,-0.03307755978274629
SSP1,2075,0.26839611800806484,0.2786246931235723,-0.03671094259750696
SSP1,2080,0.25150344616397335,0.26210732593340624,-0.04045625100966088
SSP1,2085,0.23645655562063772,0.2476468104537981,-0.045186347494865386
SSP1,2090,0.2237552673756813,0.23561246266679925,-0.05032499196736584
SSP1,2095,0.21336999291297054,0.22579021005318745,-0.055007775302973405
SSP1,2100,0.2058562191420692,0.2176112441868191,-0.054018463469921674
SSP2,2020,0.5042309576450288,0.5062895302210937,-0.004065998708616236
SSP2,2025,0.48899972330721975,0.4950922322081973,-0.01230580587743002
SSP2,2030,0.47772070892051854,0.4839357745957351,-0.012842748979259522
SSP2,2035,0.46719809263716916,0.4738369428014657,-0.014010832766743975
SSP2,2040,0.45606752580245435,0.46329360813464937,-0.015597198418707436
SSP2,2045,0.4441384674008617,0.4519190469893021,-0.017216755169481845
SSP2,2050,0.43126659866386796,0.4396279484967568,-0.019019149854960893
SSP2,2055,0.41755002359452364,0.4263944591240275,-0.020742379128644406
SSP2,2060,0.403206146188428,0.41196503680930585,-0.021261247528955418
SSP2,2065,0.38831951576580004,0.39754697717658394,-0.023210996286069596
SSP2,2070,0.37236634523158596,0.3820226266950906,-0.025276726530682025
SSP2,2075,0.35546755730377677,0.3655162055998752,-0.02749166286514393
SSP2,2080,0.3385337093617623,0.3490200005478751,-0.0300449577951174
SSP2,2085,0.3217140584824546,0.33263413110666995,-0.03282908037093002
SSP2,2090,0.3050858569404997,0.3167825318933306,-0.036923358377505155
SSP2,2095,0.2888412271083407,0.3015249591755149,-0.042065280770973046
SSP2,2100,0.27056767273905125,0.284683724763804,-0.049585033483963814
SSP3,2020,0.5000338515014249,0.5014128944083103,-0.0027503140072070442
SSP3,2025,0.48723579558147834,0.4939284652932884,-0.013549876514681203
SSP3,2030,0.48166651520267967,0.4883614031733138,-0.013708880200465345
SSP3,2035,0.47967844949761906,0.48656741268097325,-0.014158291336027196
SSP3,2040,0.4778294372297057,0.48488925410567907,-0.01455964803549703
SSP3,2045,0.47568458076317366,0.4829668815118703,-0.015078261113681823
SSP3,2050,0.4729326035509259,0.4803694950620393,-0.015481606529059277
SSP3,2055,0.4692869982149618,0.47690612954091205,-0.01597616565189619
SSP3,2060,0.46429520491411325,0.47202197820907577,-0.016369520174206897
SSP3,2065,0.4576145459599015,0.46542251811335145,-0.016776094515367546
SSP3,2070,0.4487592812364076,0.45661713231646683,-0.017208839800196496
SSP3,2075,0.4378787149181955,0.4459759706316634,-0.01815626008280047
SSP3,2080,0.42612904942233065,0.43442537701942097,-0.019097244396750424
SSP3,2085,0.41348058320002934,0.42180653485571096,-0.019738792473970812
SSP3,2090,0.4000988721387726,0.40853128983676534,-0.020640812363141192
SSP3,2095,0.3864803303973936,0.3952232851900912,-0.02212155791502135
SSP3,2100,0.36811700101644407,0.37701259993122704,-0.023594964508893534
SSP4,2020,0.5060252734352364,0.5080745223820329,-0.00403336293500578
SSP4,2025,0.4985246617890081,0.5046558613353005,-0.012149268473905073
SSP4,2030,0.4986459169471472,0.5048902335102412,-0.012367671522739654
SSP4,2035,0.5034682657957703,0.5102757922271677,-0.013340876708426652
SSP4,2040,0.50855376077163,0.5160962755601455,-0.01461454993126865
SSP4,2045,0.5141043603036182,0.5223661084177438,-0.015816010994952556
SSP4,2050,0.520166543010762,0.5291273285926845,-0.016935026973101897
SSP4,2055,0.5266557266381702,0.5361684855725934,-0.01774210754715333
SSP4,2060,0.5333739140250114,0.542666838356194,-0.017124548017955155
SSP4,2065,0.540041784160757,0.5494030616222678,-0.017038997623837426
SSP4,2070,0.5460121776203377,0.5553282924322036,-0.016775869226946072
SSP4,2075,0.5510616106220627,0.5601431702900188,-0.016212925819043766
SSP4,2080,0.5559091054474621,0.5647595365697752,-0.015671149487919478
SSP4,2085,0.5605479844605844,0.5687057372571452,-0.014344417968957912
SSP4,2090,0.5646881828914713,0.5718482357837864,-0.012520897056718994
SSP4,2095,0.5682785326347589,0.574339577420951,-0.010553068296997647
SSP4,2100,0.5625629948609312,0.5678323309036384,-0.00927973938067539
SSP5,2020,0.5074594129048269,0.5100216950077618,-0.005023868843257673
SSP5,2025,0.48569117705940035,0.492179648325891,-0.013183136053188438
SSP5,2030,0.4629530591814678,0.4701613785258961,-0.015331585437810102
SSP5,2035,0.43785414298457925,0.4465238602592919,-0.01941602240399487
SSP5,2040,0.41375027047426116,0.4238575141997425,-0.023845852407652024
SSP5,2045,0.3900540957751132,0.40089956378066083,-0.027052830647332327
SSP5,2050,0.3665417839153925,0.3784081911146131,-0.031358748245559176
SSP5,2055,0.3436130663858301,0.3567424444783597,-0.036803521127764194
SSP5,2060,0.32237909303287593,0.3371056488646518,-0.043685283475295766
SSP5,2065,0.30353276415773256,0.31974382373563714,-0.05070014922730082
SSP5,2070,0.28696019302387876,0.30478649949694103,-0.0584878480591664
SSP5,2075,0.2727516586705896,0.30204040315648994,-0.0969696245264432
SSP5,2080,0.26109790598363425,0.29345188547954826,-0.11025309802675942
SSP5,2085,0.2519267305172279,0.28793847044549103,-0.12506748359309783
SSP5,2090,0.2454764074761172,0.28605536506397056,-0.14185700582395533
SSP5,2095,0.24169288444722548,0.28883421002064147,-0.1632124033023895
SSP5,2100,0.24272924039068322,0.29748086622736647,-0.18405091571447907
