orig,dest,distance
ABW,MNP,16037.50717282806
ABW,MOZ,11825.243259081612
ABW,MRT,6023.782207909384
ABW,MSR,889.8487159773297
ABW,MTQ,1000.3548146877051
ABW,MUS,14421.223940040263
ABW,MWI,11743.26782649048
ABW,MYS,19059.004738069234
ABW,MYT,12982.95368177258
ABW,NAM,10067.132281609494
ABW,NCL,13294.105895099283
ABW,NER,8023.856708731287
ABW,NGA,8625.95353608447
ABW,NIC,1804.4779834084634
ABW,NIU,10789.916517253227
ABW,NLD,8849.390276727365
ABW,NOR,9679.112132785362
ABW,NPL,17293.637325316162
ABW,NRU,13622.541378326501
ABW,NZL,11861.651774594318
ABW,OMN,14333.00476385313
ABW,PAK,15986.85179076185
ABW,PAN,1060.3616071525475
ABW,PER,1082.70295324219
ABW,PHL,18792.36432131461
ABW,PLW,17280.05248029913
ABW,PNG,15667.467478031322
ABW,POL,10595.453788045275
ABW,PRI,500.6701169614614
ABW,PRK,17826.766538252377
ABW,PRT,7022.195169323523
ABW,PRY,2250.549465569129
ABW,PSE,11808.204062555662
ABW,PYF,8589.212174332633
ABW,QAT,13558.996785040888
ABW,REU,14210.527981372794
ABW,ROU,10990.274550460479
ABW,RUS,12471.12843680854
ABW,RWA,11192.847077500854
ABW,SAU,13021.779544945932
ABW,SDN,11409.936260183884
ABW,SEN,5850.4858009813515
ABW,SGP,19251.75790587933
ABW,SHN,7440.499046847114
ABW,SLB,14270.666392694455
ABW,SLE,6323.6234610914735
ABW,SLV,2131.1328683776815
ABW,SMR,9486.907071528703
ABW,SOM,12860.53022667151
ABW,SPM,2256.2623358264195
ABW,SRB,10380.575193126066
ABW,SSD,11318.605298413962
ABW,STP,8587.114081486712
ABW,SUR,1685.2293301735515
ABW,SVK,10081.059236777102
ABW,SVN,9753.678235929798
ABW,SWE,10451.590126871743
ABW,SWZ,11674.698303249806
ABW,SYC,14023.94042034208
ABW,SYR,11948.888671345761
ABW,TCA,352.5397630810897
ABW,TCD,9462.23996837336
ABW,TGO,7937.945070750438
ABW,THA,18969.376739305775
ABW,TJK,15561.431496358828
ABW,TKL,11100.691505776253
ABW,TKM,14424.946178195598
ABW,TLS,17994.757818846014
ABW,TON,11324.23166337505
ABW,TTO,950.2675271261872
ABW,TUN,9111.649473839967
ABW,TUR,11654.327724008308
ABW,TUV,12166.42320943911
ABW,TWN,18603.038514589432
ABW,TZA,11861.113269746067
ABW,UGA,11455.381603315669
ABW,UKR,11588.749664831957
ABW,URY,2731.5471348953442
